country_code,postal_code,latitude,longitude,region_id,source
che,3658,7.7376,46.6989,BE::Sigriswil::Merligen,cadastre
che,3661,7.5761,46.7785,BE::Uetendorf::3661,cadastre
che,3662,7.5407,46.7868,BE::Seftigen::3662,cadastre
che,3663,7.5333,46.7797,BE::Gurzelen::3663,cadastre
che,3664,7.5052,46.7963,BE::Burgistein::3664,cadastre
che,3665,7.5049,46.7705,BE::Wattenwil::3665,cadastre
che,3671,7.611,46.8217,BE::Brenzikofen||Herbligen,cadastre
che,3672,7.6351,46.8378,BE::Oberdiessbach::Oberdiessbach||Aeschlen b. Oberdiessbach,cadastre
che,3673,7.6772,46.8472,BE::Linden::3673,cadastre
che,3674,7.6389,46.8162,BE::Oberdiessbach::Bleiken b. Oberdiessbach,cadastre
che,3700,7.6772,46.6907,BE::Spiez::3700,cadastre
che,3702,7.6804,46.6724,BE::Spiez::Hondrich,cadastre
che,3703,7.71,46.6526,BE::Aeschi bei Spiez::Aeschi b. Spiez||Aeschiried,cadastre
che,3704,7.7207,46.6584,BE::Krattigen::3704,cadastre
che,3705,7.7026,46.6761,BE::Spiez::Faulensee,cadastre
che,3706,7.7729,46.655,BE::Leissigen::3706,cadastre
che,3707,7.8079,46.6616,BE::Därligen::3707,cadastre
che,3711,7.6884,46.6465,BE::Aeschi bei Spiez;Reichenbach im Kandertal::Emdthal||Mülenen,cadastre
che,3713,7.694,46.6262,BE::Reichenbach im Kandertal::3713,cadastre
che,3714,7.6528,46.5988,BE::Frutigen;Reichenbach im Kandertal::Frutigen||Wengi b. Frutigen,cadastre
che,3715,7.5588,46.4929,BE::Adelboden::3715,cadastre
che,3716,7.663,46.5456,BE::Kandergrund::3716,cadastre
che,3717,7.6754,46.5289,BE::Kandergrund::Blausee-Mitholz,cadastre
che,3718,7.6747,46.4947,BE::Kandersteg::3718,cadastre
che,3722,7.6981,46.6149,BE::Reichenbach im Kandertal::Scharnachtal,cadastre
che,3723,7.7244,46.5894,BE::Reichenbach im Kandertal::Kiental,cadastre
che,3724,7.6119,46.5643,BE::Frutigen::Ried (Frutigen),cadastre
che,3725,7.5984,46.527,BE::Frutigen::Achseten,cadastre
che,3752,7.6353,46.673,BE::Wimmis::3752,cadastre
che,3753,7.5794,46.6599,BE::Diemtigen::Oey,cadastre
che,3754,7.5661,46.6494,BE::Diemtigen::3754,cadastre
che,3755,7.5642,46.6304,BE::Diemtigen::Horboden,cadastre
che,3756,7.5156,46.6074,BE::Diemtigen::Zwischenflüh,cadastre
che,3757,7.4871,46.5751,BE::Diemtigen::Schwenden im Diemtigtal,cadastre
che,3758,7.5781,46.6641,BE::Erlenbach im Simmental::Latterbach,cadastre
che,3762,7.5521,46.661,BE::Erlenbach im Simmental::3762,cadastre
che,3763,7.4957,46.6588,BE::Därstetten::3763,cadastre
che,3764,7.4756,46.6585,BE::Därstetten::Weissenburg,cadastre
che,3765,7.4326,46.6574,BE::Oberwil im Simmental::3765,cadastre
che,3766,7.3943,46.6304,BE::Boltigen::3766,cadastre
che,3770,7.3718,46.552,BE::Zweisimmen::3770,cadastre
che,3771,7.3895,46.5415,BE::Zweisimmen::Blankenburg,cadastre
che,3772,7.4003,46.5055,BE::St. Stephan::3772,cadastre
che,3773,7.4216,46.4938,BE::St. Stephan::Matten (St. Stephan),cadastre
che,3775,7.4409,46.4565,BE::Lenk::Lenk im Simmental,cadastre
che,3776,7.3426,46.524,BE::Zweisimmen::Oeschseite,cadastre
che,3777,7.3117,46.5175,BE::Saanen::Saanenmöser,cadastre
che,3778,7.291,46.5042,BE::Saanen::Schönried,cadastre
che,3780,7.2863,46.475,BE::Saanen::Gstaad,cadastre
che,3781,7.3357,46.479,BE::Saanen::Turbach,cadastre
che,3782,7.3211,46.4248,BE::Lauenen::Lauenen b. Gstaad,cadastre
che,3783,7.2743,46.4455,BE::Saanen::Grund b. Gstaad,cadastre
che,3784,7.2708,46.4179,BE::Gsteig::Feutersoey,cadastre
che,3785,7.2672,46.3847,BE::Gsteig::Gsteig b. Gstaad,cadastre
che,3792,7.2585,46.4903,BE::Saanen::3792,cadastre
che,3800,7.8576,46.6783,BE::Matten bei Interlaken;Gündlischwand;Unterseen;Beatenberg;Interlaken::Sundlauenen||Interlaken||Interlaken||Matten b. Interlaken||Unterseen,cadastre
che,3801,7.9833,46.5474,VS::Fieschertal::Jungfraujoch,cadastre
che,3802,46.6871,7.8649,Canton de Berne::Interlaken-Oberhasli District::Interlaken::Interlaken Ost,geonames
che,3803,7.7908,46.696,BE::Beatenberg::3803,cadastre
che,3804,7.8628,46.7251,BE::Habkern::3804,cadastre
che,3805,7.8803,46.6966,BE::Ringgenberg (BE)::Goldswil b. Interlaken,cadastre
che,3806,7.9005,46.684,BE::Bönigen::Bönigen b. Interlaken,cadastre
che,3807,7.9647,46.7096,BE::Iseltwald::3807,cadastre
che,3812,7.8695,46.6661,BE::Wilderswil::3812,cadastre
che,3813,7.831,46.6365,BE::Saxeten::3813,cadastre
che,3814,7.8788,46.6546,BE::Gsteigwiler::3814,cadastre
che,3815,7.9058,46.6336,BE::Gündlischwand::Zweilütschinen||Gündlischwand,cadastre
che,3816,7.9634,46.6375,BE::Grindelwald;Lütschental::Burglauenen||Lütschental,cadastre
che,3818,8.0458,46.6248,BE::Grindelwald::3818,cadastre
che,3822,7.9021,46.6065,BE::Lauterbrunnen::Lauterbrunnen||Isenfluh,cadastre
che,3823,7.9512,46.5891,BE::Lauterbrunnen::Wengen||Kleine Scheidegg||Eigergletscher,cadastre
che,3824,7.9016,46.5481,BE::Lauterbrunnen::Stechelberg,cadastre
che,3825,7.8945,46.5606,BE::Lauterbrunnen::Mürren,cadastre
che,3826,7.8933,46.5471,BE::Lauterbrunnen::Gimmelwald,cadastre
che,3852,7.8965,46.7009,BE::Ringgenberg (BE)::Ringgenberg BE,cadastre
che,3853,7.9294,46.7167,BE::Niederried bei Interlaken::Niederried b. Interlaken,cadastre
che,3854,7.9567,46.738,BE::Oberried am Brienzersee::3854,cadastre
che,3855,8.0401,46.745,BE::Brienz (BE);Schwanden bei Brienz::Brienz BE||Axalp||Schwanden b. Brienz,cadastre
che,3856,8.0989,46.7502,BE::Brienzwiler::3856,cadastre
che,3857,8.1121,46.7392,BE::Meiringen::Unterbach BE,cadastre
che,3858,8.0714,46.754,BE::Hofstetten bei Brienz::Hofstetten b. Brienz,cadastre
che,3860,8.1679,46.7184,BE::Schattenhalb;Meiringen::Meiringen||Brünig||Rosenlaui||Schattenhalb,cadastre
che,3862,8.2308,46.7064,BE::Innertkirchen::3862,cadastre
che,3863,8.353,46.7383,BE::Innertkirchen::Gadmen,cadastre
